date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:59	16685/16685	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:55:59%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/24	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/24	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:00	16685/16685	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:56:00%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/25	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/25	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:01	16685/16685	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:56:01%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/26	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/26	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:02	18616/18616	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:03%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/CENG	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/CENG.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:02	26505/26505	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/CIVL	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/CIVL.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:03	19855/19855	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:56:02%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/27	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/27.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:03	28908/28908	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/DBAP	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/DBAP.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:03	40433/40433	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/COMP	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/COMP.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:04	34164/34164	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:56:02%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/28	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/CC22/28.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:04	19423/19423	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/EESM	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/EESM.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:04	22267/22267	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ECON	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ECON.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:04	24530/24530	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ELEC	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ELEC.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:05	24008/24008	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENGG	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENGG.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:05	18962/18962	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENEG	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENEG.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:05	19504/19504	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENTR	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENTR.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:05	33305/33305	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENVR	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ENVR.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:06	26008/26008	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/GFIN	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/GFIN.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:06	23639/23639	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ISDN	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ISDN.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:06	18932/18932	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/EVSM	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/EVSM.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:06	55816/55816	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ISOM	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/ISOM.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:07	21271/21271	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/MARK	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/MARK.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:07	18471/18471	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/MATH	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/MATH.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:07	23192/23192	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/LIFS	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/LIFS.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:07	20419/20419	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/MECH	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/MECH.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:08	18625/18625	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/OCES	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/OCES.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:08	20574/20574	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/PHYS	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/PHYS.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:08	18866/18866	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SCIE	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SCIE.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:08	47315/47315	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SBMT	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SBMT.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:09	19454/19454	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SOSC	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SOSC.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:09	21149/21149	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/TEMG	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/TEMG.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:09	19165/19165	U--M--	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:48:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SHSS	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/subject/SHSS.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:10	16676/16676	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:56:09%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/instructor/	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/instructor/index.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:56:11	19925/19925	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:56:10%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/instructor/TEH,%20Jack%20Her%20Hock	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/instructor/TEH,%20Jack%20Her%20Hock.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y)
